#eps=200, mi=5, 1d points randomly selected rand%10000
number_of_points dbscan_odc_duration_ratio
0.0000e+000 0.0000e+000
2.0000e+003 3.1000e-002
4.0000e+003 3.1000e-002
6.0000e+003 4.7000e-002
8.0000e+003 9.4000e-002
1.0000e+004 1.4100e-001
1.2000e+004 1.7100e-001
1.4000e+004 2.1900e-001
1.6000e+004 2.8200e-001
1.8000e+004 3.4400e-001
2.0000e+004 4.2200e-001
2.2000e+004 5.0000e-001
2.4000e+004 5.8400e-001
2.6000e+004 6.7200e-001
2.8000e+004 7.7500e-001
3.0000e+004 8.6900e-001
3.2000e+004 1.0000e+000
3.4000e+004 1.1250e+000
3.6000e+004 1.2570e+000
3.8000e+004 1.3970e+000
4.0000e+004 1.5470e+000
4.2000e+004 1.6970e+000
4.4000e+004 1.8580e+000
4.6000e+004 2.0280e+000
4.8000e+004 2.2030e+000
5.0000e+004 2.3910e+000
5.2000e+004 2.5840e+000
5.4000e+004 2.7730e+000
5.6000e+004 2.9910e+000
5.8000e+004 3.1940e+000
6.0000e+004 3.4260e+000
6.2000e+004 3.6460e+000
6.4000e+004 3.8790e+000
6.6000e+004 4.1250e+000
6.8000e+004 4.3840e+000
7.0000e+004 4.6230e+000
7.2000e+004 4.8960e+000
7.4000e+004 5.2220e+000
7.6000e+004 5.4850e+000
7.8000e+004 5.7260e+000
8.0000e+004 6.0290e+000
