#eps=200, mi=5, 1d points randomly selected rand%10000
number_of_points duration_ms
0.0000e+000 0.0000e+000
1.0000e+005 4.7000e-002
2.0000e+005 9.3500e-002
3.0000e+005 1.4800e-001
4.0000e+005 2.5800e-001
5.0000e+005 3.2050e-001
6.0000e+005 3.6800e-001
7.0000e+005 4.3700e-001
8.0000e+005 5.2750e-001
9.0000e+005 5.8850e-001
1.0000e+006 6.7450e-001
1.1000e+006 7.4600e-001
1.2000e+006 8.4400e-001
1.3000e+006 9.4850e-001
1.4000e+006 9.8750e-001
1.5000e+006 1.0860e+000
1.6000e+006 1.1710e+000
1.7000e+006 1.2605e+000
1.8000e+006 1.3395e+000
1.9000e+006 1.4145e+000
2.0000e+006 1.5000e+000
2.1000e+006 1.6645e+000
2.2000e+006 1.6905e+000
2.3000e+006 1.7540e+000
2.4000e+006 1.8670e+000
2.5000e+006 2.0615e+000
2.6000e+006 2.1000e+000
2.7000e+006 2.2510e+000
2.8000e+006 2.3000e+000
2.9000e+006 2.4350e+000
3.0000e+006 2.4850e+000
3.1000e+006 2.6100e+000
3.2000e+006 2.6740e+000
3.3000e+006 2.8405e+000
3.4000e+006 2.8340e+000
3.5000e+006 3.0280e+000
3.6000e+006 3.0505e+000
3.7000e+006 3.1450e+000
3.8000e+006 3.4165e+000
3.9000e+006 3.3455e+000
4.0000e+006 3.5000e+000
