delta   t-eps-50  t-eps-70  t-eps-90  t-eps-110  t-eps-130
0       5.56      7.56      9.76      10.80      11.58
1       3.19      4.53      6.19      7.19       7.74
2       2.13      3.06      4.25      5.44       6.07
3       1.57      2.47      3.53      4.80       5.97
4       1.26      2.06      3.32      4.74       6.55
5       1.21      2.06      3.43      5.50       8.25
6       1.24      2.29      4.09      7.13       11.01
7       1.27      2.77      5.57      9.42       15.85
8       1.53      3.55      7.15      13.48      23.96
9       1.83      4.72      10.38     20.56      38.45
10      3.04      6.81      15.76     32.60      64.97
