# n=5, mi=10, N=5000 %10000
eps 	 phi 				  gamma 			c2        c3        c4
20     0.709677     0.333333    0         0         0     
40     0.546392     0.333333    0         0         0    
60     0.519685     0.333333    0         0         0    
80     0.481481     0.333333    10        0         0    
100    0.482234     0.3125      31        0         0    
120    0.453744     0.2         312       0         0    
140    0.439216     0.2         2091      0         0    
160    0.42053      0.2         7239      0         0    
180    0.39823      0.2         14731     0         0    
200    0.391534     0.2         25737     0         0    
220    0.380383     0.2         36225     0         0    
240    0.353061     0.2         43438     0         0    
260    0.301483     0.2         47297     0         0    
280    0.269819     0.2         49030     0         0    
300    0.260591     0.2         49724     0         0    
320    0.254177     0.2         49925     0         0    
340    0.253093     0.2         49972     0         0    
360    0.252146     0.2         49986     0         0    
380    0.247225     0.2         49995     0         0    
400    0.246854     0.2         50000     33        0    
420    0.243542     0.2         50000     77        0    
440    0.24583      0.185185    50000     152       0    
460    0.244761     0.166667    50000     529       0    
480    0.238554     0.166667    50000     591       0    
500    0.236111     0.166667    50000     1265      0    
520    0.235556     0.166667    50000     1665      0    
540    0.23213      0.166667    50000     3188      0    
560    0.232432     0.166667    50000     5658      0    
580    0.225325     0.166667    50000     8754      0    
600    0.225746     0.166667    50000     11587     0    
620    0.224502     0.166667    50000     15693     0    
640    0.227087     0.166667    50000     19339     0    
660    0.221971     0.166667    50000     24295     0    
680    0.219858     0.166667    50000     29018     0    
700    0.216772     0.166667    50000     33005     0    
720    0.208064     0.166667    50000     36996     0    
740    0.203633     0.166667    50000     40171     0    
760    0.198024     0.166667    50000     43443     0    
780    0.192922     0.166667    50000     45274     0    
800    0.192726     0.166667    50000     46874     0    
820    0.190056     0.166667    50000     48136     10   
840    0.185415     0.166667    50000     48528     10   
860    0.184877     0.166667    50000     49263     11   
880    0.186622     0.166667    50000     49592     30   
900    0.185714     0.166667    50000     49638     20   
920    0.182324     0.166667    50000     49828     23   
940    0.182414     0.16129     50000     49864     62   
960    0.180727     0.16129     50000     49912     222  
980    0.181546     0.16129     50000     49932     195  
1000   0.181789     0.16129     50000     49966     427  
1020   0.181268     0.16129     50000     49980     783  
1040   0.179932     0.16129     50000     49993     1005 
1060   0.178734     0.16129     50000     49997     1327 
1080   0.177943     0.16129     50000     49995     1882 
1100   0.177765     0.16129     50000     49992     1764 
1120   0.178035     0.16129     50000     49998     2980 
1140   0.173572     0.16129     50000     49999     4166 
1160   0.1767       0.16129     50000     50000     4696 
1180   0.17363      0.16129     50000     49999     6280 
1200   0.173879     0.16129     50000     50000     8008 
1220   0.173132     0.16129     50000     50000     9374 
1240   0.172423     0.16129     50000     50000     10548
1260   0.173306     0.16129     50000     50000     11742
1280   0.173609     0.16129     50000     50000     13432
1300   0.171436     0.16129     50000     49999     14872
1320   0.1696       0.16129     50000     50000     16538
1340   0.171971     0.16129     50000     50000     17636
1360   0.169903     0.16129     50000     50000     19023
1380   0.170603     0.16129     50000     50000     20110
1400   0.166517     0.16129     50000     50000     20937
1420   0.16652      0.16129     50000     50000     21696
1440   0.167247     0.16129     50000     50000     22430
1460   0.166269     0.16129     50000     50000     23069
1480   0.163644     0.16129     50000     50000     23389
1500   0.162662     0.16129     50000     50000     23642
1520   0.165298     0.16129     50000     50000     23959
1540   0.163083     0.16129     50000     50000     24252
1560   0.163567     0.16129     50000     50000     24433
1580   0.163722     0.16129     50000     50000     24577
1600   0.162441     0.16129     50000     50000     24690
1620   0.161432     0.16129     50000     50000     24732
1640   0.160664     0.16129     50000     50000     24789
1660   0.160691     0.16129     50000     50000     24864
1680   0.15902      0.16129     50000     50000     24856
1700   0.157895     0.16129     50000     50000     24944
1720   0.156842     0.16129     50000     50000     24938
1740   0.154123     0.16129     50000     50000     24956
1760   0.156486     0.16129     50000     50000     24978
1780   0.15864      0.16129     50000     50000     24969
1800   0.159428     0.16129     50000     50000     24975
1820   0.155218     0.16129     50000     50000     24991
1840   0.158167     0.16129     50000     50000     24991
1860   0.156059     0.16129     50000     50000     24991
1880   0.157182     0.16129     50000     50000     24992
1900   0.154248     0.16129     50000     50000     24999
1920   0.158233     0.16129     50000     50000     24999
1940   0.157928     0.16129     50000     50000     24998
1960   0.155335     0.16129     50000     50000     24999
1980   0.155325     0.16129     50000     50000     25000
2000   0.15626      0.16129     50000     50000     24999
