# n=5, eps=200, N=5000 %10000
mi 		 phi 				 gamma       c2        c3
5      0.168176    0.16129     50000     50000
15     0.168556    0.16129     50000     50000
25     0.172546    0.16129     50000     50000
35     0.170969    0.166667    50000     49999
45     0.172821    0.166667    50000     49964
55     0.173007    0.166667    50000     49363
65     0.174196    0.166667    50000     45140
75     0.182182    0.166667    50000     38128
85     0.192508    0.166667    50000     25569
95     0.200147    0.166667    50000     15650
105    0.202588    0.166667    50000     8912 
115    0.203704    0.166667    50000     4061 
125    0.20327     0.178571    50000     2481 
135    0.204574    0.2         50000     606  
145    0.201453    0.2         50000     0    
155    0.204247    0.2         50000     0    
165    0.203466    0.2         50000     0    
175    0.203066    0.2         50000     0    
185    0.205283    0.2         50000     0    
195    0.203133    0.2         50000     0    
205    0.203551    0.2         50000     0    
215    0.202787    0.2         50000     0    
225    0.204036    0.2         49996     0    
235    0.204671    0.2         49994     0    
245    0.205424    0.2         49999     0    
255    0.204241    0.2         49966     0    
265    0.202774    0.2         49983     0    
275    0.203801    0.2         49908     0    
285    0.207523    0.2         49787     0    
295    0.208344    0.2         48489     0    
305    0.215272    0.2         47671     0    
315    0.217252    0.2         46126     0    
325    0.223422    0.2         43256     0    
335    0.228075    0.2         39465     0    
345    0.233736    0.2         36774     0    
355    0.23688     0.2         35903     0    
365    0.246584    0.2         34004     0    
375    0.248097    0.2         32235     0    
385    0.271569    0.2         30755     0    
395    0.276819    0.2         27563     0    
405    0.290752    0.2         23899     0    
415    0.293628    0.2         20483     0    
425    0.303477    0.2         12162     0    
435    0.305277    0.2         12304     0    
445    0.307722    0.2         10631     0    
455    0.306882    0.2         11313     0    
465    0.310635    0.2         9451      0    
475    0.311853    0.2         9439      0    
485    0.314308    0.2         7122      0    
495    0.317158    0.227273    6601      0    
505    0.317188    0.277778    4870      0    



































