#N=10000 sum of ti-dists depending on pacement of r on and axis
dist-from-0 ti-dist-sum-3 ti-dist-sum-4 ti-dist-sum-5
0.0000e+000 3.2014e-010 3.2014e-010 3.2014e-010
1.0000e-001 1.7502e+008 1.5893e+008 1.4425e+008
2.0000e-001 3.6555e+008 3.2945e+008 2.9744e+008
3.0000e-001 5.6931e+008 5.0854e+008 4.5631e+008
4.0000e-001 7.8266e+008 6.9200e+008 6.1663e+008
5.0000e-001 1.0005e+009 8.7457e+008 7.7352e+008
6.0000e-001 1.2164e+009 1.0503e+009 9.2186e+008
7.0000e-001 1.4224e+009 1.2130e+009 1.0568e+009
8.0000e-001 1.6094e+009 1.3566e+009 1.1745e+009
9.0000e-001 1.7674e+009 1.4761e+009 1.2723e+009
1.0000e+000 1.8854e+009 1.5684e+009 1.3497e+009
1.1000e+000 1.9580e+009 1.6342e+009 1.4082e+009
1.2000e+000 1.9990e+009 1.6792e+009 1.4513e+009
1.3000e+000 2.0208e+009 1.7092e+009 1.4824e+009
1.4000e+000 2.0307e+009 1.7287e+009 1.5047e+009
1.5000e+000 2.0330e+009 1.7409e+009 1.5204e+009
1.6000e+000 2.0306e+009 1.7479e+009 1.5312e+009
1.7000e+000 2.0252e+009 1.7513e+009 1.5385e+009
1.8000e+000 2.0181e+009 1.7522e+009 1.5432e+009
1.9000e+000 2.0098e+009 1.7513e+009 1.5458e+009
2.0000e+000 2.0010e+009 1.7491e+009 1.5470e+009
2.1000e+000 1.9920e+009 1.7461e+009 1.5472e+009
2.2000e+000 1.9829e+009 1.7425e+009 1.5465e+009
2.3000e+000 1.9739e+009 1.7386e+009 1.5453e+009
2.4000e+000 1.9652e+009 1.7343e+009 1.5436e+009
2.5000e+000 1.9567e+009 1.7300e+009 1.5416e+009
2.6000e+000 1.9484e+009 1.7256e+009 1.5394e+009
2.7000e+000 1.9405e+009 1.7212e+009 1.5370e+009
2.8000e+000 1.9330e+009 1.7168e+009 1.5345e+009
2.9000e+000 1.9257e+009 1.7125e+009 1.5320e+009
3.0000e+000 1.9188e+009 1.7083e+009 1.5295e+009
3.1000e+000 1.9121e+009 1.7043e+009 1.5269e+009
3.2000e+000 1.9058e+009 1.7003e+009 1.5244e+009
3.3000e+000 1.8997e+009 1.6964e+009 1.5218e+009
3.4000e+000 1.8939e+009 1.6927e+009 1.5194e+009
3.5000e+000 1.8883e+009 1.6890e+009 1.5169e+009
3.6000e+000 1.8830e+009 1.6855e+009 1.5146e+009
3.7000e+000 1.8779e+009 1.6821e+009 1.5122e+009
3.8000e+000 1.8730e+009 1.6789e+009 1.5100e+009
3.9000e+000 1.8684e+009 1.6757e+009 1.5078e+009
4.0000e+000 1.8639e+009 1.6726e+009 1.5056e+009
4.1000e+000 1.8596e+009 1.6697e+009 1.5035e+009
4.2000e+000 1.8555e+009 1.6668e+009 1.5015e+009
4.3000e+000 1.8515e+009 1.6641e+009 1.4995e+009
4.4000e+000 1.8477e+009 1.6614e+009 1.4976e+009
4.5000e+000 1.8441e+009 1.6589e+009 1.4957e+009
4.6000e+000 1.8406e+009 1.6564e+009 1.4939e+009
4.7000e+000 1.8372e+009 1.6540e+009 1.4922e+009
4.8000e+000 1.8339e+009 1.6517e+009 1.4905e+009
4.9000e+000 1.8308e+009 1.6494e+009 1.4888e+009
5.0000e+000 1.8278e+009 1.6472e+009 1.4872e+009
5.1000e+000 1.8248e+009 1.6451e+009 1.4856e+009
5.2000e+000 1.8220e+009 1.6431e+009 1.4841e+009
5.3000e+000 1.8193e+009 1.6411e+009 1.4826e+009
5.4000e+000 1.8167e+009 1.6392e+009 1.4812e+009
5.5000e+000 1.8141e+009 1.6374e+009 1.4798e+009
5.6000e+000 1.8117e+009 1.6356e+009 1.4784e+009
5.7000e+000 1.8093e+009 1.6338e+009 1.4771e+009
5.8000e+000 1.8070e+009 1.6321e+009 1.4758e+009
5.9000e+000 1.8047e+009 1.6305e+009 1.4746e+009
6.0000e+000 1.8026e+009 1.6289e+009 1.4734e+009
6.1000e+000 1.8005e+009 1.6273e+009 1.4722e+009
6.2000e+000 1.7984e+009 1.6258e+009 1.4710e+009
6.3000e+000 1.7965e+009 1.6244e+009 1.4699e+009
6.4000e+000 1.7946e+009 1.6229e+009 1.4688e+009
6.5000e+000 1.7927e+009 1.6216e+009 1.4677e+009
6.6000e+000 1.7909e+009 1.6202e+009 1.4667e+009
6.7000e+000 1.7891e+009 1.6189e+009 1.4657e+009
6.8000e+000 1.7874e+009 1.6176e+009 1.4647e+009
6.9000e+000 1.7858e+009 1.6164e+009 1.4637e+009
7.0000e+000 1.7841e+009 1.6152e+009 1.4628e+009
7.1000e+000 1.7826e+009 1.6140e+009 1.4619e+009
7.2000e+000 1.7810e+009 1.6128e+009 1.4610e+009
7.3000e+000 1.7796e+009 1.6117e+009 1.4601e+009
7.4000e+000 1.7781e+009 1.6106e+009 1.4592e+009
7.5000e+000 1.7767e+009 1.6095e+009 1.4584e+009
7.6000e+000 1.7753e+009 1.6085e+009 1.4576e+009
